County Name	Local Authority Desc	Roll No.	Official School Name	Address Line 1	Address Line 2	Address Line 3	Address Line 4	Phone Number	Email Address	Ethos/Religion Desc	Island Ind (Y/N)	Irish Classification Description	DEIS (Y/N)	Total Boys	Total Girls	Total Pupils
Carlow	Carlow County Council	17481N	ST BRENDANS N S	DRUMMOND	ST MULLINS	KILKENNY		51424744	drummondns@eircom.net	CATHOLIC	N	No Irish	N	7	8	15
Carlow	Carlow County Council	17501Q	Bennekerry National School	Bennekerry	Co Carlow			599143495	bennekerry@gmail.com	CATHOLIC	N	No Irish	N	223	208	431
Carlow	Carlow County Council	17514C	S N CLUAIN NA GALL	CLONEGAL	ENNISCORTHY	CO WEXFORD		539377513	clonegalns@eircom.net	CATHOLIC	N	No Irish	N	72	59	131
Carlow	Carlow County Council	17663T	ST PATRICKS N S	RATHVILLY	CO CARLOW			599161304	rathvilly.ias@eircom.net	CATHOLIC	N	No Irish	N	95	105	200
Carlow	Carlow County Council	17669I	S N TREASA NAOMHA	CILL TEAGAIN	CO CILLE MANNTAIN			596473210	tynockschool@eircom.net	CATHOLIC	N	No Irish	Y	34	29	63
Carlow	Carlow County Council	17756D	BALLINABRANNA MXD N S	MILFORD	CO CARLOW			599146253	ballinabrannans@gmail.com	CATHOLIC	N	No Irish	N	81	95	176
Carlow	Carlow County Council	17796P	Our Lady's National School	Nurney	Carlow	Co Carlow		599146297	nurneyns@gmail.com	CATHOLIC	N	No Irish	N	20	23	43
Carlow	Carlow County Council	17994T	S N FHOIRTCHEIRN/FHININ	MIDHISEAL	CO CEATHARLACH			599157750	myshallns.ias@eircom.net	CATHOLIC	N	No Irish	N	51	68	119
Carlow	Carlow County Council	18024N	SCOIL MUIRE GAN SMAL	ARD AITINN	CO CEATHARLACH			599155649	ardattin.ias@eircom.net	CATHOLIC	N	No Irish	N	41	33	74
Carlow	Carlow County Council	18090D	S N CILL DAMHAIN	CILL DAMHAIN	INIS CORTHAIGH	CO LOCH GORMAN		539376456	kildavin.ias@eircom.net	CATHOLIC	N	No Irish	N	47	46	93
Carlow	Carlow County Council	18183K	QUEEN OF UNIVERSE N S	MUINEBHEAG	CO CARLOW			599721075	principal@queenoftheuniversens.com	CATHOLIC	N	No Irish	N	101	191	292
Carlow	Carlow County Council	18363M	S N MUIRE GAN SMAL	GREEN LANE	CARLOW			599142705	smgscarlow@gmail.com	CATHOLIC	N	No Irish	N	0	442	442
Carlow	Carlow County Council	18424G	SCOIL NAIS IOSEF NAOFA	CARLOW	CO CARLOW			599142502	stjoes@eircom.net	CATHOLIC	N	No Irish	N	163	4	167
Carlow	Carlow County Council	18510W	St Patrick's National School	Ballymurphy	Borris	Co Carlow (via Kilkenny)		599773512	ballymurphyns@eircom.net	CATHOLIC	N	No Irish	N	23	24	47
Carlow	Carlow County Council	18609S	S N FIONTAIN NAOFA	RATHMORE	TULLOW	CO CARLOW		599161375	rathmorens.ias@eircom.net	CATHOLIC	N	No Irish	N	14	8	22
Carlow	Carlow County Council	18615N	S N CEATHARLACH	GREEN ROAD	CARLOW			599132175	carlowns@eircom.net	CHURCH OF IRELAND	N	No Irish	N	67	58	125
Carlow	Carlow County Council	19477J	HOLY FAMILY B N S	ASKEA	CARLOW	CO CARLOW		599142772	askeabns@hotmail.com	CATHOLIC	N	No Irish	Y	400	0	400
Carlow	Carlow County Council	19478L	Holy Family Girls N S	ASKEA	CARLOW	CO CARLOW		599142343	askeagns@eircom.net	CATHOLIC	N	No Irish	Y	0	373	373
Carlow	Carlow County Council	19784S	ST LASERIANS MXD NS	LEIGHLINBRIDGE	CO CARLOW			599721796	school@leighlin.net	CATHOLIC	N	No Irish	N	87	88	175
Carlow	Carlow County Council	19811S	GAELSCOIL EOGHAIN UÍ THUAIRISC	Garrán na Fuinseoige	Ceatharlach			599131634	cgscoil@iol.ie	CATHOLIC	N	All Irish	N	219	257	476
Carlow	Carlow County Council	19958C	S.N. NAOMH FHIACH	GRAIGUECULLEN	CO CARLOW			599132444	st.fiaccs@gmail.com	CATHOLIC	N	No Irish	N	282	249	531
Carlow	Carlow County Council	20295K	Carlow Educate Together NS	Bestfield	Athy Road	Carlow Town	Carlow	599137541	simon@carloweducatetogether.ie	MULTI DENOMINATIONAL	N	No Irish	Y	115	106	221
Cavan	Cavan County Council	01356U	KILNALECK MIXED N S	KILNALECK	CO CAVAN			494336728	kilnaleckns.ias@eircom.net	CATHOLIC	N	No Irish	Y	41	34	75
Cavan	Cavan County Council	05627W	BAILIEBORO MODEL N S	BAILIEBORO	CO CAVAN			429665689	themodelbailieborough@gmail.com	CHURCH OF IRELAND	N	No Irish	N	52	43	95
Cavan	Cavan County Council	06998Q	St Patrick's NS	Corlough	Belturbet	C/O Belturbet Post Office	Co. Cavan	499523655	tullyveelans.ias@eircom.net	CATHOLIC	N	No Irish	Y	20	14	34
Cavan	Cavan County Council	08143P	S N MHUIRE	MUILEANN LARAINN	SWANLINBAR	CO CAVAN		499521613	Scoilmhuirens@eircom.net	CATHOLIC	N	No Irish	Y	29	19	48
Cavan	Cavan County Council	08453H	S N CRUABANAI	CRUABANAI	CO CAVAN			494362202	crubany.ias@eircom.net	CATHOLIC	N	No Irish	N	98	90	188
Cavan	Cavan County Council	08490N	ST CLARES PRIMARY SCHOOL	CAVAN	CO CAVAN			494332671	stclares12@gmail.com	CATHOLIC	N	No Irish	Y	138	383	521
Cavan	Cavan County Council	08948L	MILLTOWN N S	BELTURBET	CO CAVAN			499522802	milltownns@gmail.com	CATHOLIC	N	No Irish	N	69	51	120
Cavan	Cavan County Council	10146K	CORLISS N S	KILLESHANDRA	CO CAVAN			494334888	corlissns@eircom.net	CATHOLIC	N	No Irish	N	10	15	25
Cavan	Cavan County Council	11205F	KILLESHANDRA National School ( C of I)	KILLESHANDRA	CO CAVAN			494334822	killens@eircom.net	CHURCH OF IRELAND	N	No Irish	N	31	30	61
Cavan	Cavan County Council	11409V	BALLYCONELL CENTRAL N S	BALLYCONNELL	CO CAVAN			499526055	ballycns.ias@eircom.net	CHURCH OF IRELAND	N	No Irish	N	17	8	25
Cavan	Cavan County Council	11517B	CAVAN 1 N S	CAVAN	CO CAVAN			494362122	cavanno1.ias@eircom.net	CHURCH OF IRELAND	N	No Irish	N	43	41	84
Cavan	Cavan County Council	11541V	DROMAILI S N	CAVAN	CO CAVAN			494332011	farnhamns@eircom.net	CATHOLIC	N	No Irish	N	127	113	240
Cavan	Cavan County Council	12099O	BILLIS N S	NEW INN	BALLYJAMESDUFF	CO CAVAN		498544653	billisns.ias@eircom.net	CHURCH OF IRELAND	N	No Irish	N	47	46	93
Cavan	Cavan County Council	12312L	DARLEY N S	COOTEHILL	CO CAVAN			495556055	darley.ias@eircom.net	CHURCH OF IRELAND	N	No Irish	N	45	41	86
Cavan	Cavan County Council	12713G	CORRATOBER N S	ARVA	CO CAVAN			494335836	cortoberns@eircom.net	CATHOLIC	N	No Irish	N	0	4	4
Cavan	Cavan County Council	13203L	ST PATRICKS MXD N S	GOWNA	CO CAVAN			436683514	gownans@gmail.com	CATHOLIC	N	No Irish	N	65	53	118
Cavan	Cavan County Council	13271F	FAIRGREEN N S	BELTURBET	CO CAVAN			499522803	fairgreenbelturbet@eircom.net	CHURCH OF IRELAND	N	No Irish	N	25	17	42
Cavan	Cavan County Council	14073G	CASTLETARA N S	BALLYHAISE	CO CAVAN			494338225	castletarans.ias@eircom.net	CATHOLIC	N	No Irish	N	77	54	131
Cavan	Cavan County Council	14211P	S N LATHRACH 2	KINGSCOURT	CO CAVAN			429667744	muffschool@gmail.com	CATHOLIC	N	No Irish	N	66	56	122
Cavan	Cavan County Council	14320U	CORLEA N S	KINGSCOURT	CO CAVAN			429667338	corleanschool@eircom.net	CATHOLIC	N	No Irish	N	15	10	25
Cavan	Cavan County Council	14336M	SEARCOG I N S	SHERCOCK	VIA DUNDALK	CO CAVAN		429669593	shercockns.ias@eircom.net	CATHOLIC	N	No Irish	N	91	96	187
Cavan	Cavan County Council	14399N	KILLYGARRY N S	KILLYGARRY	CO CAVAN			494362144	killygarryns.ias@eircom.net	CATHOLIC	N	No Irish	N	103	103	206
Cavan	Cavan County Council	14732U	SCOIL BHRIDE	MOUNTNUGENT	CO CAVAN			498540390	mountnugentnationalschool@gmail.com	CATHOLIC	N	No Irish	N	52	71	123
Cavan	Cavan County Council	15120R	KILLYCONNAN N S	STRADONE	CO CAVAN			494330540	killyconnanns.ias@eircom.net	CATHOLIC	N	No Irish	N	45	47	92
Cavan	Cavan County Council	15452T	KILDALLON N S	ARDLOUGHER	BELTURBET	CO CAVAN		499526721	kildallonschool@gmail.com	CATHOLIC	N	No Irish	N	20	27	47
Cavan	Cavan County Council	15502I	KILLINKERE N S	VIRGINIA	CO CAVAN			498547611	killinkerens@eircom.net	CATHOLIC	N	No Irish	N	89	84	173
Cavan	Cavan County Council	16057S	CONVENT OF MERCY N S	BELTURBET	CO CAVAN			499522992	info@comns.ie	CATHOLIC	N	No Irish	N	34	119	153
Cavan	Cavan County Council	16083T	VIRGINIA MXD N S	VIRGINIA	CO CAVAN			498547035	info@virginians.ie	CATHOLIC	N	No Irish	N	192	197	389
Cavan	Cavan County Council	16093W	BALLYCONNELL MXD N S	BALLYCONNELL	CO CAVAN			499526673	principal@ballyconnelmixed.ie	CATHOLIC	N	No Irish	N	66	64	130
Cavan	Cavan County Council	16316Q	ST MARYS N S	ARVA	CO CAVAN			494335560	stmarysarva@gmail.com	CATHOLIC	N	No Irish	N	68	58	126
Cavan	Cavan County Council	16390F	SCOIL BHRIDE	KILLSHANDRA	CO CAVAN			494334886	killeshandrans@eircom.net	CATHOLIC	N	No Irish	N	43	45	88
Cavan	Cavan County Council	16520P	ST MARY'S N.S.	DRUNG	BALLYHAISE	CO CAVAN		495553144	stmarysdrung@hotmail.com	CATHOLIC	N	No Irish	N	23	24	47
Cavan	Cavan County Council	16767D	CORONEA N S	ARVA	CO CAVAN			494335780	coronea.ias@eircom.net	CATHOLIC	N	No Irish	N	16	14	30
Cavan	Cavan County Council	16921K	S N BEAL ATHA NA NEACH	BALLINAGH	CO CAVAN			494337546	ballinaghns.ias@eircom.net	CATHOLIC	N	No Irish	N	120	102	222
Cavan	Cavan County Council	16959M	S N CORRABHA	GLANGEVLIN N S	CARRICK ON SHANNON	CO LEITRIM		719643290	curravaghns@gmail.com	CATHOLIC	N	No Irish	N	7	8	15
Cavan	Cavan County Council	17230L	SCOIL NAOMH BRID	CILL UACHTAIR,	AN CNOC RUA,	CO. AN CHABHAIN.		4755222	killoughter.ias@eircom.net	CATHOLIC	N	No Irish	N	41	33	74
Cavan	Cavan County Council	17240O	S N TAMHNACH DHUIBH	BAILIEBORO	CO CAVAN			429660368	tunnyduff@hotmail.com	CATHOLIC	N	No Irish	N	54	34	88
Cavan	Cavan County Council	17326B	S N NAOMH FEIDHLIM	CAVAN	CO CAVAN			494332366	felimsns@gmail.com	CATHOLIC	N	No Irish	Y	222	4	226
Cavan	Cavan County Council	17440W	S N NAOMH MAODHOG	CILL NA BHEART	BEAL ATHA CONAILL	CO CAVAN		499526562	currinns.ias@eircom.net	CATHOLIC	N	No Irish	N	49	31	80
Cavan	Cavan County Council	17479D	SCOIL MHUIRE	LACKEN	BALLINAGH	CO CAVAN		494337822	scoilmhuirelacken@gmail.com	CATHOLIC	N	No Irish	Y	50	46	96
Cavan	Cavan County Council	17531C	BAILE NA MONA	BAILIEBORO	CO CAVAN			429665960	ballinamoneyns.ias@eircom.net	CATHOLIC	N	No Irish	N	55	57	112
Cavan	Cavan County Council	17601U	S N DOIRE NA CEISE	AN MHUINCHILLE	CO CAVAN			495552220	info@dernakeshns.ie	CATHOLIC	N	No Irish	N	53	79	132
Cavan	Cavan County Council	17625L	CNOC AN TEAMPAILL	VIRGINIA	CO CAVAN			498547081	knocktemplens@eircom.net	CATHOLIC	N	No Irish	N	89	69	158
Cavan	Cavan County Council	17630E	S N MAODHOG	CNOC BRIGHDE	BAILIEBORO	CO CAVAN		429660244	eastknockbridens@yahoo.com	CATHOLIC	N	No Irish	N	23	26	49
Cavan	Cavan County Council	17780A	BALLYHAISE N S	Ballyhaise	CO CAVAN			494338411	ballyhaisens@gmail.com	CATHOLIC	N	No Irish	N	62	63	125
Cavan	Cavan County Council	17990L	S N DROM CNAMH	DROM CNAMH	CO CAVAN			494361496	drumcravens@yahoo.ie	CATHOLIC	N	No Irish	N	22	22	44
Cavan	Cavan County Council	18059J	BAILIEBORO N S	BAILIEBORO	CO CAVAN			429665242	naomhainecc.ias@eircom.net	CATHOLIC	N	No Irish	N	123	145	268
Cavan	Cavan County Council	18127A	S N MHUIRE	BELTURBET	CO CAVAN			499522906	belturbetns.ias@eircom.net	CATHOLIC	N	No Irish	N	73	0	73
Cavan	Cavan County Council	18340A	S N PADRAIG	LIOS BO DUIBHE	AN MHUINCHILLE	CO CAVAN		495553407	bunnoe.ias@eircom.net	CATHOLIC	N	No Irish	N	34	22	56
Cavan	Cavan County Council	18346M	S N GREACH RATHAIN	BEAL TAIRBEIRT	CO CAVAN			499526502	greaghrahanns@eircom.net	CATHOLIC	N	No Irish	N	27	32	59
Cavan	Cavan County Council	18355N	Aughadreena National School	Aughadreena	Stradone	Cavan		494330549	aughadreenans@gmail.com	CATHOLIC	N	No Irish	N	62	53	115
Cavan	Cavan County Council	18393V	S N CILLIN	CROS RIABHACH	MULLACH	CEANNANUS MOR	CO NA MI	498547800	crossns4@gmail.com	CATHOLIC	N	No Irish	N	50	36	86
Cavan	Cavan County Council	18518P	S N CORR LORGAN	CABHAN	CO CAVAN			494361718	corlurganprincipal@eircom.net	CATHOLIC	N	No Irish	N	60	43	103
Cavan	Cavan County Council	18564W	S N LEITIR	CILL CATHLAIGH	CO CAVAN			429665605	valens.ias@eircom.net	CATHOLIC	N	No Irish	N	93	105	198
Cavan	Cavan County Council	18833A	S N LATHRACH	LATHRACH	SRAITH AN DOMHAIN	CO AN CHABHAIN		494330522	laraghns@eircom.net	CATHOLIC	N	No Irish	N	63	67	130
Cavan	Cavan County Council	18857O	S N CARRAIG A BRUIS	VIRGINIA	CO CAVAN			498548165	carrigabruise@eircom.net	CATHOLIC	N	No Irish	N	78	77	155
Cavan	Cavan County Council	19202Q	DRUMKILLY NS	KILNALECK	CO CAVAN			494336517	drumkillyns@eircom.net	CATHOLIC	N	No Irish	N	60	71	131
Cavan	Cavan County Council	19285A	KILL N S	COOTEHILL	CO CAVAN			495553149	killnscootehill@eircom.net	CATHOLIC	N	No Irish	N	40	35	75
Cavan	Cavan County Council	19322D	KILMORE CENTRAL N S	KILMORE CENTRAL N S	KILMORE	CO CAVAN		494332661	kilmorecns@eircom.net	CHURCH OF IRELAND	N	No Irish	N	37	22	59
Cavan	Cavan County Council	19326L	BUTLERSBRIDGE NS	CAVAN	CO CAVAN			494361730	bbcns.ias@eircom.net	CATHOLIC	N	No Irish	N	111	109	220
Cavan	Cavan County Council	19363R	MULLAHORAN CENTRAL N S	KILCOGY	VIA LONGFORD	CO CAVAN		436681100	mullahoranns.ias@eircom.net	CATHOLIC	N	No Irish	Y	71	92	163
Cavan	Cavan County Council	19378H	BALLYNARRY N S	BALLYHEELAN	KILNALECK	CO CAVAN		494336833	ballynarry@gmail.com	CATHOLIC	N	No Irish	N	56	33	89
Cavan	Cavan County Council	19418Q	CASTLERAHAN CENTRAL NS	CASTLERAHAN	BALLYJAMESDUFF	CO CAVAN		498544201	castlerahanns@gmail.com	CATHOLIC	N	No Irish	N	78	72	150
Cavan	Cavan County Council	19432K	CROSSKEYS CENTRAL N S	CROSSKEYS	CO CAVAN			494336704	crosskeysns.ias@eircom.net	CATHOLIC	N	No Irish	N	59	60	119
Cavan	Cavan County Council	19527V	CABRA CENTRAL N S	CABRA	KINGSCOURT	CO CAVAN		429667194	cabracentral@eircom.net	CHURCH OF IRELAND	N	No Irish	N	24	33	57
Cavan	Cavan County Council	19568M	ST PATRICKS	BRUSKEY CARRIGANS PO	BALLINAGH	CO CAVAN		494337836	bruskeyns.ias@eircom.net	CATHOLIC	N	No Irish	N	29	37	66
Cavan	Cavan County Council	19596R	CROSSERLOUGH N S	CROSSERLOUGH	CO. CAVAN			494336128	crosserloughns1@eircom.net	CATHOLIC	N	No Irish	N	51	66	117
Cavan	Cavan County Council	19608V	ST KILLIANS N S	MULLAGH	CO CAVAN			469242222	mullaghns@gmail.com	CATHOLIC	N	No Irish	N	196	174	370
Cavan	Cavan County Council	19679V	S N AODHAIN NAOFA	AN BABHUN BUI	BEAL TAIRBIRT	CO AN CHABHAIN		499523544	bawnboyns@eircom.net	CATHOLIC	N	No Irish	N	39	25	64
Cavan	Cavan County Council	19871N	ST PATRICKS N S	KILLINAGH	BLACKLION VIA SLIGO	CO CAVAN		719853332	blacklionns@eircom.net	CATHOLIC	N	No Irish	N	33	36	69
Cavan	Cavan County Council	19921C	DRUNG NO 2 NS	DRUNG	CO CAVAN			494338317	drungcent.ias@eircom.net	CHURCH OF IRELAND	N	No Irish	N	18	16	34
Cavan	Cavan County Council	19983B	ST CLARES NS	BALLYJAMESDUFF	CO CAVAN			498544908	stclaresbjd.ias@eircom.net	CATHOLIC	N	No Irish	N	230	217	447
Cavan	Cavan County Council	20026G	Gaelscoil Bhreifne	Halla na nGasóga	Bóthar an Iarnróid	An Cábhán		494362402	gaelscoilbhreifne@eircom.net	MULTI DENOMINATIONAL	N	All Irish	N	18	9	27
Cavan	Cavan County Council	20134J	ST MICHAELS N. S.	STRADONE	CAVAN	CO CAVAN		494330096	clifferna.ias@eircom.net	CATHOLIC	N	No Irish	N	34	30	64
Cavan	Cavan County Council	20172R	ST JOSEPHS N S	KINGSCOURT	CO CAVAN			429667528	stjosephg.ias@eircom.net	CATHOLIC	N	No Irish	N	221	193	414
Cavan	Cavan County Council	20277I	St Michaels National School	Cootehill	Co Cavan				stmichaelssns.ias@eircom.net	CATHOLIC	N	No Irish	Y	100	94	194
Clare	Clare County Council	02439G	S N MHUIRE	FEAKLE	CO CLARE			61924116	feaklens@eircom.net	CATHOLIC	N	No Irish	N	37	33	70
Clare	Clare County Council	03898U	TOONAGH N S	TOONAGH	ENNIS	CO CLARE		656820143	toonaghns@eircom.net	CATHOLIC	N	No Irish	N	52	68	120
Clare	Clare County Council	03928D	MULLACH N S	MULLACH	ENNIS	CO CLARE		657087472	principal@mullaghschool.ie	CATHOLIC	N	No Irish	Y	32	32	64
Clare	Clare County Council	04548V	SCOIL SEANAIN NAOFA	CLUAINLARA	CO AN CHLAIR			61354299	seanannaofa@eircom.net	CATHOLIC	N	No Irish	N	179	161	340
Clare	Clare County Council	04919H	CRATLOE N S	CRATLOE	CO CLARE			61357111	cratns@iol.ie	CATHOLIC	N	No Irish	N	125	151	276
Clare	Clare County Council	05253H	O CALLAGHANS MILLS N S	OCALLAGHANS MILLS	CO CLARE			656835730	ocallaghansmillsns@eircom.net	CATHOLIC	N	No Irish	N	28	34	62
Clare	Clare County Council	07315N	HOLY FAMILY SNR	ENNIS	CO CLARE			656828893	info@hfss.org	CATHOLIC	N	No Irish	Y	156	186	342
Clare	Clare County Council	09390O	ROCKMOUNT MIXED N S	MILTOWN MALBAY	CO CLARE			657084599	rockmount.ias@eircom.net	CATHOLIC	N	No Irish	N	26	21	47
Clare	Clare County Council	09425H	RINEEN N S	MILTOWN MALBAY	CO CLARE			657084534	rineenschool@gmail.com	CATHOLIC	N	No Irish	N	30	20	50
Clare	Clare County Council	10568N	S N CUIBHREANN	CILL CHAOI	CO AN CHLAIR			659057097	querrins@gmail.com	CATHOLIC	N	No Irish	N	8	8	16
Clare	Clare County Council	10763L	BOSTON N S	TUBBER	GORT	CO GALWAY		91633211	bostonns@gmail.com	CATHOLIC	N	No Irish	N	12	11	23
Clare	Clare County Council	10886E	TUBBER N S	TUBBER	CO CLARE			91633230	tubbernationalschool@gmail.com	CATHOLIC	N	No Irish	N	13	15	28
Clare	Clare County Council	11234M	CLOHANBEG N S	CREE	KILRUSH	CO. CLARE		657087540	clohanbegns.ias@eircom.net	CATHOLIC	N	No Irish	N	12	9	21
Clare	Clare County Council	11714D	BANSHA N S	KILKEE	CO CLARE			659056998	banshans@banshaschool.com	CATHOLIC	N	No Irish	N	31	19	50
Clare	Clare County Council	11765U	DOONBEG N S	DOONBEG	CO CLARE			659055311	doonbegns.ias@eircom.net	CATHOLIC	N	No Irish	N	22	29	51
Clare	Clare County Council	11990E	BODYKE N S	BODYKE	CO CLARE			61921285	bodykens@gmail.com	CATHOLIC	N	No Irish	N	16	8	24
Clare	Clare County Council	12633I	COOLMEEN N S	KILMURRAY MCMAHON	KILRUSH	CO CLARE		656832320	coolmeenns.ias@eircom.net	CATHOLIC	N	No Irish	N	5	9	14
Clare	Clare County Council	12848G	DOONAHA N S	KILKEE	CO CLARE			659057084	dunatha@gmail.com	CATHOLIC	N	No Irish	Y	6	8	14
Clare	Clare County Council	13379C	S N PADRAIG NFA FANOIR	BALLYVAUGHAN	CO CLARE			657076197	fans2@eircom.net	CATHOLIC	N	No Irish	N	17	14	31
Clare	Clare County Council	13418J	BALLYEA MIXED N S	SN BAILE AODHA	DARRAGH	ENNIS	CO CLARE	656838144	ballyeans.ias@eircom.net	CATHOLIC	N	No Irish	N	109	99	208
Clare	Clare County Council	13625O	KILNAMONA N S	ENNIS	CO CLARE			656822986	kilnamona.ias@eircom.net	CATHOLIC	N	No Irish	N	71	52	123
Clare	Clare County Council	13730L	CLOHANES N S	MULLACH	CO CLARE			657087533	clohanesns.ias@eircom.net	CATHOLIC	N	No Irish	N	20	25	45
Clare	Clare County Council	13738E	BURRANE N S	KILRUSH	CO CLARE			659053144	burranens.ias@eircom.net	CATHOLIC	N	No Irish	N	28	33	61
Clare	Clare County Council	13804O	S N NA CRANNAIGHE	CRANNACH	CILL ROIS	CO CLARE		656832345	crannyns@gmail.com	CATHOLIC	N	No Irish	N	11	13	24
Clare	Clare County Council	13826B	KILMIHIL N.S.	KILMIHIL	ENNIS	CO CLARE		659050366	kilmihilns.ias@eircom.net	CATHOLIC	N	No Irish	N	50	47	97
Clare	Clare County Council	13870E	KILKISHEN N S	SN MUIRE NA D CHOMHAIRL	CILL CHISIN	ENNIS	CO CLARE	61367289	kilkishenns.ias@eircom.net	CATHOLIC	N	No Irish	N	52	64	116
Clare	Clare County Council	13876Q	MOVEEN N S	KILKEE	CO CLARE			659056248	concannonmoveen@gmail.com	CATHOLIC	N	No Irish	N	36	34	70
Clare	Clare County Council	13942D	S N CILL MUIRE	INIS	CO CLARE			61367623	principal@kilmurry-ns.ie	CATHOLIC	N	No Irish	N	75	60	135
Clare	Clare County Council	14111L	CROSS N S	KILRUSH	CO CLARE			659058244	crossnational@gmail.com	CATHOLIC	N	No Irish	N	8	10	18
Clare	Clare County Council	14468G	KILMALEY N S	ENNIS	CO CLARE			656839360	Kilmaleyns@eircom.net	CATHOLIC	N	No Irish	N	57	67	124
Clare	Clare County Council	14571W	TOMGRANEY N S	TOMGRANEY	LIMERICK			61921550	tuamgraneyns@eircom.net	CATHOLIC	N	No Irish	N	46	42	88
Clare	Clare County Council	14622N	EIDHNEACH N S	INIS	CO CLARE			656836778	inaghns@eircom.net	CATHOLIC	N	No Irish	N	82	58	140
Clare	Clare County Council	14757N	S N MHAINISTIR CHUINCHE	QUIN	CO CLARE			656825785	mainistir.quin.ias@eircom.net	CATHOLIC	N	No Irish	N	155	139	294
Clare	Clare County Council	14830U	BAREFIELD MIXED N S	ENNIS	CO CLARE			656820303	john.burns@barefieldns.com	CATHOLIC	N	No Irish	N	216	184	400
Clare	Clare County Council	15042A	ENNIS N S	ENNIS	CO CLARE			656829158	info@ennisns.ie	CATHOLIC	N	No Irish	N	305	274	579
Clare	Clare County Council	15221A	ANNAGH N S	MILTOWN MALBAY	CO CLARE			657084850	annaghns@gmail.com	CATHOLIC	N	No Irish	Y	51	35	86
